,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.1,-79.24,48.99,100,90,5.82,US,1603248192
1,new norfolk,6.65,-10.59,72.59,98,65,1.61,LR,1603248194
2,buarcos,40.17,-8.88,60.01,93,40,5.82,PT,1603248195
3,port blair,-7.03,29.76,72.84,73,24,5.21,CD,1603248028
4,christchurch,-43.53,172.63,64.0,55,17,10.29,NZ,1603248017
5,cape town,-36.41,-71.9,55.4,66,6,6.93,CL,1603248028
6,atuona,-9.8,-139.03,77.86,76,80,15.82,PF,1603247953
7,puerto ayora,36.59,-6.23,64.4,93,40,14.99,ES,1603248089
8,hobart,-42.88,147.33,61.0,51,40,5.82,AU,1603248019
9,miles city,35.19,-120.7,59.0,93,75,4.5,US,1603247905
10,sibolga,1.74,98.78,86.27,60,65,3.87,ID,1603248090
11,busselton,-33.65,115.33,71.01,39,7,3.83,AU,1603248030
12,arraial do cabo,-22.84,-46.65,69.8,83,75,5.82,BR,1603248030
13,severo-kurilsk,50.68,156.12,42.48,65,62,30.38,RU,1603248030
14,rikitea,-23.12,-134.97,73.92,76,28,9.62,PF,1603247835
15,sorland,67.67,12.69,39.87,69,0,18.23,NO,1603248031
16,tuktoyaktuk,69.45,-133.04,23.0,92,90,17.22,CA,1603248031
17,iqaluit,63.75,-68.51,30.2,80,75,16.11,CA,1603248031
18,kapaa,22.08,-159.32,81.0,83,90,9.17,US,1603248032
19,bambous virieux,-20.26,57.41,75.99,83,40,10.29,MU,1603248032
20,grindavik,63.84,-22.43,35.6,93,75,4.7,IS,1603247845
21,mataura,-46.19,168.86,55.99,63,18,13.0,NZ,1603248032
22,bredasdorp,-34.53,20.04,46.29,88,0,2.73,ZA,1603248032
23,dano,11.15,-3.07,79.16,63,51,4.23,BF,1603248033
24,karpogory,64.0,44.45,23.63,98,52,3.74,RU,1603248033
25,abilene,32.45,-99.73,75.2,60,20,8.05,US,1603248033
